id,name,email,password
1,user1,blabla@com,pass1,
2,user2,blabla@com,pass2,
3,user3,blabla@com,pass3,
4,user4,blabla@com,pass3,
5,user3,blabla@com,pass3,
6,manual,blabla,pass,
7,manual,blabla,pass,
8,manual,blabla,pass,
9,manual,blabla,pass,
10,manual,blabla,pass,
11,manual,blabla,pass,
12,manual,blabla,pass,
13,manual,blabla,pass,
14,manual,blabla,pass,
15,manual,blabla,pass,
16,manual,blabla,pass,
17,manual,blabla,pass,
18,manual,blabla,pass,
19,manual,blabla,pass,
20,manual,blabla,pass,
21,manual,blabla,pass,
22,manual,blabla,pass,
23,manual,blabla,pass,
24,manual,blabla,pass,
25,manual,blabla,pass,
26,manual,blabla,pass,
27,manual,blabla,pass,
28,manual,blabla,pass,
29,manual,blabla,pass,
30,manual,blabla,pass,
31,manual,blabla,pass,
32,manual,blabla,pass,
33,manual,blabla,pass,
34,manual,blabla,pass,
35,manual,blabla,pass,
36,manual,blabla,pass,
37,manual,blabla,pass,
38,manual,blabla,pass,
39,manual,blabla,pass,
40,manual,blabla,pass,
41,manual,blabla,pass,
42,manual,blabla,pass,
43,manual,blabla,pass,
44,manual,blabla,pass,
45,manual,blabla,pass,
46,manual,blabla,pass,
47,manual,blabla,pass,
48,manual,blabla,pass,
49,manual,blabla,pass,
50,manual,blabla,pass,
51,manual,blabla,pass,
52,manual,blabla,pass,
53,manual,blabla,pass,
54,manual,blabla,pass,
55,manual,blabla,pass,
56,manual,blabla,pass,
57,manual,blabla,pass,
58,manual,blabla,pass,
59,manual,blabla,pass,
60,manual,blabla,pass,
61,manual,blabla,pass,
62,manual,blabla,pass,
63,manual,blabla,pass,
64,manual,blabla,pass,
65,manual,blabla,pass,
66,manual,blabla,pass,
67,manual,blabla,pass,
68,manual,blabla,pass,
69,manual,blabla,pass,
70,manual,blabla,pass,
71,manual,blabla,pass,
72,manual,blabla,pass,
73,manual,blabla,pass,
74,manual,blabla,pass,
75,manual,blabla,pass,
